TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force
PWFOTwAcvDpzqdFmOrlW,10/3/2023,MFB020,Braking,8.463,4.3082
zlejhpjbbfLt9bZhT6cY,9/26/2023,MFB020,Braking,7.3715,11.4742
dhPI3VoUTtnrfSI12qI0,9/26/2023,MFB020,Braking,9.1168,12.8711
QrQB7iy1aFJinVN2Llyl,9/19/2023,MFB020,Braking,5.4614,2.1635
Xtq6JXUnVsDroJ5tmz35,9/19/2023,MFB020,Braking,4.0293,5.2045
PbxgFfdmt7qkU2ovUn41,9/12/2023,MFB020,Braking,0.5684,2.2047
0OIH99aUwmhLo9JSMU4h,9/12/2023,MFB020,Braking,2.6518,4.7927
M6CSDXFF6f0PpdKs81Xf,8/29/2023,MFB020,Braking,7.6776,8.5622
Xb1luLUuD7Uaa3XBWex9,8/29/2023,MFB020,Braking,4.1934,4.2488
k7YF3eAf5d0pw8nMjztA,8/29/2023,MFB020,Braking,5.2814,6.2782
INaNR1t9P7pKLag9dA84,10/17/2023,MFB021,Braking,-10.5977,-20.366
woM870WAWtpu2Laji9Bk,10/17/2023,MFB021,Braking,-8.1403,-26.117
jEWUw1GutTXc8wN4icPU,10/10/2023,MFB021,Braking,-7.5715,-19.8717
dynoRULnAi5DrH6D5U8v,10/10/2023,MFB021,Braking,-2.5832,-16.0165
CdJTCNaYtiVjOWwycekj,10/3/2023,MFB021,Braking,-4.9131,-23.071
cOHYDcMd2wQ9azaHHaVM,10/3/2023,MFB021,Braking,-6.7826,-18.1506
zGPVHT4mBqCYbjCbIHYa,9/26/2023,MFB021,Braking,-12.9752,-25.8755
lSmvM4FgSeAmOyEo5kIp,9/26/2023,MFB021,Braking,-20.6579,-27.7021
DNg0Jkbq72GxFPjhJMy7,9/19/2023,MFB021,Braking,-13.5755,-19.4253
115UppFkdQH86hETfhgS,9/19/2023,MFB021,Braking,-25.84,-42.7228
zXvSAYbKJxSkLNIEFgFN,9/12/2023,MFB021,Braking,-8.0921,-18.5092
wgT7XpovSotjEqEl1HRM,9/12/2023,MFB021,Braking,-13.2516,-24.3319
b7B9zy4tf1mP1ZlcmZvG,8/29/2023,MFB021,Braking,-11.1623,-26.9251
8cOSLt6OYzX4dWD4Bq7B,8/29/2023,MFB021,Braking,-14.0539,-13.9131
uHf61CWFhZvt4OBDOIC6,8/29/2023,MFB021,Braking,-13.1048,-15.9214
G7xSnrEdQkmMS6VQXnvs,10/17/2023,MFB022,Braking,-9.9436,2.4732
q46b70lD7I9hYLJ5ceX6,10/17/2023,MFB022,Braking,-5.7747,-1.4464
fZR1PoQso4U0pPljJ35i,10/10/2023,MFB022,Braking,-2.8445,-0.2086
zjbHQgdBw3VS20B3ViUB,10/10/2023,MFB022,Braking,2.1045,10.667
1ezPbaQqPMGYP2D7ex6I,10/3/2023,MFB022,Braking,-0.6069,4.6337
FJwQi3vGhkQVFmvIAGO1,10/3/2023,MFB022,Braking,2.3904,3.8299
uL3h5zqbPrQcrrnF8hsZ,9/19/2023,MFB022,Braking,-9.61,-12.6437
6SwApHRjdsawGE6eEn2P,9/19/2023,MFB022,Braking,-10.4977,-4.5944
zGDtqgpKgabSdsabA2Mj,9/12/2023,MFB022,Braking,-0.4129,3.9751
8ACFEBeTycyOFeD7TKxT,9/12/2023,MFB022,Braking,-3.1932,3.76
